date,value
1,2003
2,1930
3,1876
4,1872
5,1824
6,1817
7,1809
8,1798
9,1789
10,1786
11,1783
12,1777
13,1770
14,1768
15,1752
16,1750
17,1744
18,1744
19,1738
20,1737
21,1732
22,1720
23,1708
24,1707
25,1704
26,1692
27,1689
28,1686
29,1678
30,1677
31,1673
32,1669
33,1668
34,1664
35,1663
36,1663
37,1663
38,1662
39,1654
40,1654
41,1646
42,1640
43,1639
44,1639
45,1638
46,1635
47,1634
48,1634
49,1632
50,1632
51,1631
52,1630
53,1625
54,1622
55,1619
56,1618
57,1612
58,1610
59,1609
60,1609
61,1604
62,1604
63,1603
64,1603
65,1599
66,1597
67,1596
68,1595
69,1588
70,1583
71,1583
72,1581
73,1580
74,1579
75,1579
76,1579
77,1578
78,1577
79,1577
80,1574
81,1572
82,1572
83,1569
84,1567
85,1567
86,1566
87,1565
88,1564
89,1564
90,1564
91,1559
92,1556
93,1554
94,1554
95,1551
96,1548
97,1548
98,1545
99,1543
100,1538
101,1536
102,1535
103,1534
104,1533
105,1532
106,1529
107,1527
108,1522
109,1521
110,1521
111,1517
112,1517
113,1517
114,1512
115,1512
116,1512
117,1510
118,1509
119,1509
120,1506
121,1506
122,1503
123,1503
124,1502
125,1502
126,1501
127,1501
128,1499
129,1499
130,1496
131,1496
132,1495
133,1493
134,1492
135,1492
136,1491
137,1490
138,1489
139,1486
140,1483
141,1482
142,1482
143,1481
144,1480
145,1478
146,1478
147,1475
148,1471
149,1471
150,1470
151,1469
152,1468
153,1468
154,1465
155,1464
156,1464
157,1464
158,1460
159,1457
160,1457
161,1456
162,1455
163,1454
164,1451
165,1450
166,1450
167,1450
168,1450
169,1449
170,1447
171,1445
172,1444
173,1444
174,1444
175,1441
176,1438
177,1437
178,1436
179,1435
180,1434
181,1431
182,1426
183,1426
184,1426
185,1425
186,1424
187,1423
188,1423
189,1422
190,1422
191,1422
192,1421
193,1421
194,1420
195,1418
196,1418
197,1417
198,1414
199,1414
200,1413
201,1412
202,1411
203,1410
204,1408
205,1408
206,1407
207,1406
208,1406
209,1406
210,1404
211,1403
212,1403
213,1402
214,1401
215,1401
216,1400
217,1399
218,1398
219,1398
220,1397
221,1397
222,1396
223,1395
224,1395
225,1395
226,1394
227,1393
228,1393
229,1393
230,1393
231,1392
232,1392
233,1392
234,1392
235,1390
236,1390
237,1389
238,1389
239,1389
240,1388
241,1388
242,1387
243,1387
244,1386
245,1384
246,1383
247,1382
248,1382
249,1381
250,1379
251,1379
252,1375
253,1375
254,1374
255,1373
256,1372
257,1372
258,1372
259,1372
260,1370
261,1370
262,1370
263,1370
264,1368
265,1368
266,1368
