year,煤电,气电,油电,核电,生物质,水电,风电,太阳能
1990,106,1,9,0,0,54,0,0
1991,116,1,10,0,0,55,0,0
1992,130,1,10,0,0,58,0,0
1993,138,1,11,1,0,60,0,0
1994,149,1,11,2,0,64,0,0
1995,160,2,12,2,0,66,0,0
1996,177,3,12,2,0,70,0,0
1997,190,4,13,2,0,73,0,0
1998,205,5,12,2,0,78,0,0
1999,219,5,12,2,0,84,0,0
2000,238,5,12,2,0,89,0,0
2001,253,6,12,2,0,93,0,0
2002,263,6,12,6,0,95,0,0
2003,282,6,12,6,0,101,1,0
2004,314,7,13,7,0,109,1,0
2005,363,12,13,7,2,117,1,0
2006,442,18,12,8,3,130,2,0
2007,503,27,10,9,3,148,4,0
2008,556,30,10,9,3,173,8,0
2009,617,34,10,9,5,196,18,0
2010,675,36,11,11,6,216,29,1
2011,737,38,11,13,7,233,46,3
2012,785,41,11,14,8,249,61,7
2013,826,48,11,17,9,280,77,17
2014,864,60,11,20,11,302,97,28
2015,900,67,11,29,14,314,118,43
2016,932,70,10,34,14,332,148,77
2017,970,80,10,36,14,341,163,130
2018,1010,85,10,45,14,353,184,174
2019,1040,90,10,49,15,356,210,205
2020,1100,120,10,50,15,370,282,254
2021,1150,150,10,53,15,390,328,307
