date,value
01.01.19 08:00,0.146
01.01.19 09:00,0.163
01.01.19 10:00,0.133
01.01.19 11:00,0.14
01.01.19 12:00,0.15
01.01.19 13:00,0.163
01.01.19 14:00,0.19
01.01.19 15:00,0.208
01.01.19 16:00,0.256
01.01.19 17:00,0.323
01.01.19 18:00,0.353
01.01.19 19:00,0.33
01.01.19 20:00,0.271
01.01.19 21:00,0.223
01.01.19 22:00,0.208
01.01.19 23:00,0.209
02.01.19 00:00,0.208
02.01.19 01:00,0.209
02.01.19 02:00,0.232
02.01.19 03:00,0.268
02.01.19 04:00,0.28
02.01.19 05:00,0.269
02.01.19 06:00,0.264
02.01.19 07:00,0.228
02.01.19 08:00,0.113
02.01.19 09:00,0.072
02.01.19 10:00,0.075
02.01.19 11:00,0.038
02.01.19 12:00,0.024
02.01.19 13:00,0.022
02.01.19 14:00,0.03
02.01.19 15:00,0.064
02.01.19 16:00,0.144
02.01.19 17:00,0.245
02.01.19 18:00,0.274
02.01.19 19:00,0.232
02.01.19 20:00,0.181
02.01.19 21:00,0.136
02.01.19 22:00,0.09
02.01.19 23:00,0.068
03.01.19 00:00,0.066
03.01.19 01:00,0.063
03.01.19 02:00,0.07
03.01.19 03:00,0.088
03.01.19 04:00,0.125
03.01.19 05:00,0.169
03.01.19 06:00,0.197
03.01.19 07:00,0.211
03.01.19 08:00,0.174
03.01.19 09:00,0.14
03.01.19 10:00,0.123
03.01.19 11:00,0.104
03.01.19 12:00,0.091
03.01.19 13:00,0.081
03.01.19 14:00,0.079
03.01.19 15:00,0.082
03.01.19 16:00,0.136
03.01.19 17:00,0.347
03.01.19 18:00,0.574
03.01.19 19:00,0.657
03.01.19 20:00,0.672
03.01.19 21:00,0.648
03.01.19 22:00,0.616
03.01.19 23:00,0.59
04.01.19 00:00,0.558
04.01.19 01:00,0.505
04.01.19 02:00,0.442
04.01.19 03:00,0.367
04.01.19 04:00,0.282
04.01.19 05:00,0.225
04.01.19 06:00,0.208
04.01.19 07:00,0.217
04.01.19 08:00,0.208
04.01.19 09:00,0.157
04.01.19 10:00,0.146
04.01.19 11:00,0.093
04.01.19 12:00,0.049
04.01.19 13:00,0.05
04.01.19 14:00,0.098
04.01.19 15:00,0.175
04.01.19 16:00,0.276
04.01.19 17:00,0.354
04.01.19 18:00,0.355
04.01.19 19:00,0.352
04.01.19 20:00,0.355
04.01.19 21:00,0.354
04.01.19 22:00,0.366
04.01.19 23:00,0.367
05.01.19 00:00,0.359
05.01.19 01:00,0.373
05.01.19 02:00,0.416
05.01.19 03:00,0.43
05.01.19 04:00,0.404
05.01.19 05:00,0.439
05.01.19 06:00,0.401
05.01.19 07:00,0.454
05.01.19 08:00,0.365
05.01.19 09:00,0.364
05.01.19 10:00,0.388
05.01.19 11:00,0.311
05.01.19 12:00,0.235
05.01.19 13:00,0.182
05.01.19 14:00,0.15
05.01.19 15:00,0.127
05.01.19 16:00,0.171
05.01.19 17:00,0.245
05.01.19 18:00,0.265
05.01.19 19:00,0.25
05.01.19 20:00,0.225
05.01.19 21:00,0.212
05.01.19 22:00,0.22
