x,y,random
 1 ,0.078,
 2 ,0.093,
 3 ,0.071,
 4 ,0.072,
 5 ,0.184,
 6 ,0.304,
 7 ,0.356,
 8 ,0.396,
 9 ,0.33,
 10 ,0.168,
 11 ,0.096,
 12 ,0.108,
 13 ,0.122,
 14 ,0.109,
 15 ,0.105,
 16 ,0.116,
 17 ,0.117,
 18 ,0.08,
 19 ,0.052,
 20 ,0.048,
 21 ,0.053,
 22 ,0.058,
 23 ,0.07,
 24 ,0.081,
 25 ,0.094,
 26 ,0.11,
 27 ,0.089,
 28 ,0.049,
 29 ,0.024,
 30 ,0.054,
 31 ,0.108,
 32 ,0.133,
 33 ,0.08,
 34 ,0.014,
 35 ,0.001,
 36 ,0.012,
 37 ,0.047,
 38 ,0.109,
 39 ,0.232,
 40 ,0.343,
 41 ,0.373,
 42 ,0.355,
 43 ,0.364,
 44 ,0.391,
 45 ,0.409,
 46 ,0.416,
 47 ,0.413,
 48 ,0.397,
 49 ,0.377,
 50 ,0.373,
 51 ,0.335,
 52 ,0.246,
 53 ,0.169,
 54 ,0.146,
 55 ,0.113,
 56 ,0.081,
 57 ,0.072,
 58 ,0.098,
 59 ,0.095,
 60 ,0.12,
 61 ,0.1,
 62 ,0.052,
 63 ,0.026,
 64 ,0.02,
 65 ,0.012,
 66 ,0.006,
 67 ,0.005,
 68 ,0.004,
 69 ,0.005,
 70 ,0.007,
 71 ,0.015,
 72 ,0.032,
 73 ,0.054,
 74 ,0.064,
 75 ,0.041,
 76 ,0.01,
 77 ,0.008,
 78 ,0.021,
 79 ,0.031,
 80 ,0.04,
 81 ,0.047,
 82 ,0.013,
 83 ,0.011,
 84 ,0.054,
 85 ,0.089,
 86 ,0.076,
 87 ,0.073,
 88 ,0.123,
 89 ,0.205,
 90 ,0.24,
 91 ,0.257,
 92 ,0.273,
 93 ,0.303,
 94 ,0.318,
 95 ,0.33,
 96 ,0.358,
 97 ,0.379,
 98 ,0.356,
 99 ,0.265,
 100 ,0.135,
 101 ,0.057,
 102 ,0.129,
 103 ,0.232,
